,age,balance,duration,campaign,previous,housing_le,loan_le,default_le,recent_pdays,deposit_le,entrepreneur,other,pink-collar,self-employed,technician,white-collar,married,single,secondary,tertiary,unknown,success,unknown_outcome
18,41,55,1120,2,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,1,0,0,0,1
19,49,168,513,1,0,1,1,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,0,1
20,28,785,442,2,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,0,1
21,43,2067,756,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
22,43,388,2087,2,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,0,1
23,43,-192,1120,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,0,0,1
24,37,381,985,2,0,1,0,0,0.0001,1,0,1,0,0,0,0,0,1,1,0,0,0,1
25,35,40,617,4,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,1,1,0,0,0,1
26,31,22,483,3,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,1,0,1,0,0,1
27,43,3,929,3,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,1,1,0,0,0,1
28,31,307,538,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,1,0,0,0,1
29,28,759,710,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,1,1,0,0,0,1
30,32,-1,653,1,0,1,0,1,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
31,60,65,1028,2,0,1,0,0,0.0001,1,0,0,0,0,1,0,1,0,0,0,0,0,1
32,26,82,654,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,1,1,0,0,0,1
33,40,10,1692,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
34,33,390,665,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1
35,32,311,757,2,0,0,0,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
36,35,414,504,4,0,0,0,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,0,0,1
37,33,5,1346,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,0,1
38,38,119,568,4,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,0,1,0,0,1
39,23,4,395,2,0,1,0,0,0.0001,1,1,0,0,0,0,0,0,1,0,0,0,0,1
40,60,1262,1015,1,0,1,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,0,0,1
41,48,1949,683,2,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,0,1,0,0,1
42,45,-395,470,1,0,1,0,0,0.0001,1,1,0,0,0,0,0,0,0,0,1,0,0,1
43,36,1165,1001,4,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
44,52,2240,845,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,0,0,1,0,1
45,35,300,945,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1
46,43,3285,1721,2,0,1,0,0,0.0001,1,0,0,0,0,1,0,1,0,1,0,0,0,1
47,52,3923,942,3,0,1,0,0,0.0001,1,0,0,1,0,0,0,1,0,1,0,0,0,1
48,53,1443,476,1,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,0,0,0,0,0,1
49,48,24,832,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1
50,41,1618,1553,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,1,0,0,0,0,1
51,39,517,1328,1,0,1,1,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,0,1
52,59,1521,1125,2,0,1,1,0,0.0001,1,0,1,0,0,0,0,1,0,1,0,0,0,1
53,41,2823,858,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
54,48,1405,629,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
55,40,1535,704,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,1,0,0,0,1
56,48,1596,760,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
57,60,1542,930,1,0,1,0,0,0.0001,1,0,1,0,0,0,0,1,0,0,0,0,0,1
58,40,3652,1028,2,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,1,0,0,1,0,1
59,57,-1,850,2,0,0,0,0,0.0001,1,0,0,0,0,1,0,1,0,0,1,0,0,1
60,51,7180,927,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
61,41,5291,1423,3,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,0,1,0,0,0,1
62,41,1384,1162,4,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
63,52,-191,755,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1
64,59,320,695,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,0,0,1
65,44,146,483,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,1,0,1
66,49,341,520,2,0,1,1,0,0.0001,1,0,1,0,0,0,0,1,0,0,0,0,0,1
67,40,-9,920,2,0,1,0,0,0.0001,1,0,0,1,0,0,0,1,0,0,0,0,0,1
68,41,-306,500,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,0,0,0,0,1
69,44,4580,911,2,0,1,0,0,0.0001,1,0,0,0,0,1,0,1,0,0,1,0,0,1
70,60,313,920,2,0,1,0,0,0.0001,1,0,0,1,0,0,0,0,1,0,0,0,0,1
71,29,10576,1224,2,0,0,0,0,0.0001,1,0,0,0,0,0,1,1,0,0,1,0,0,1
72,41,-233,1156,2,0,1,0,0,0.0001,1,0,1,0,0,0,0,0,0,0,0,0,0,1
73,41,2453,1052,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,0,0,1
74,42,1364,1867,6,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,1,1,0,0,0,1
75,36,281,515,1,0,1,0,0,0.0001,1,0,0,1,0,0,0,0,1,0,0,1,0,1
76,39,94,813,1,0,1,1,0,0.0001,1,0,0,0,0,1,0,1,0,0,1,0,0,1
77,31,144,676,1,0,1,0,0,0.0001,1,0,0,0,1,0,0,0,1,0,1,0,0,1
78,26,246,1143,3,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
79,31,92,688,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
80,29,163,803,1,0,1,1,0,0.0001,1,0,0,0,0,0,1,0,1,1,0,0,0,1
81,37,49,619,2,0,1,0,0,0.0001,1,0,0,1,0,0,0,0,0,1,0,0,0,1
82,33,-416,767,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,1,1,0,0,0,1
83,24,409,912,1,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,1,1,0,0,0,1
84,50,363,1340,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,0,1
85,27,3706,897,1,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,1,0,1,0,0,1
86,54,4393,1297,3,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
87,30,863,1193,5,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,1,1,0,0,0,1
88,34,695,1064,4,0,1,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,0,0,1
89,37,792,1187,4,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,1,0,0,0,1
90,41,1020,882,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,1,0,0,0,1
91,47,863,943,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
92,31,97,607,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,1,0,0,0,1
93,31,754,1022,4,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
94,43,1040,552,3,0,1,0,0,0.0001,1,0,0,1,0,0,0,0,0,1,0,0,0,1
95,37,122,1622,2,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,0,1
96,30,880,967,6,0,1,1,0,0.0001,1,0,0,0,0,1,0,0,1,0,1,0,0,1
97,41,501,579,5,0,1,0,0,0.0001,1,0,0,0,0,1,0,1,0,1,0,0,0,1
98,36,4438,446,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
99,35,0,1205,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,0,1,0,0,0,1
100,29,271,1882,2,0,1,0,0,0.0001,1,0,0,1,0,0,0,0,1,1,0,0,0,1
101,35,102,1334,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,0,0,1
102,31,2,182,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
103,35,4170,1777,1,0,1,0,0,0.0001,1,0,0,1,0,0,0,1,0,1,0,0,0,1
104,34,85,1182,4,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,1,1,0,0,0,1
105,31,431,1045,1,0,1,1,0,0.0001,1,0,0,0,0,0,1,0,1,1,0,0,0,1
106,44,982,650,3,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,0,1,0,0,0,1
107,36,408,1063,2,0,1,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,0,0,1
108,35,4822,843,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,1,0,1
109,41,1250,1392,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,0,0,1
110,31,216,565,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,1,0,0,0,0,1
111,34,1207,905,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
112,32,791,783,2,0,1,0,0,0.0001,1,0,0,0,0,1,0,1,0,1,0,0,0,1
113,36,849,958,2,0,1,1,0,0.0001,1,0,0,0,0,0,1,1,0,0,1,0,0,1
114,30,239,412,1,0,1,0,1,0.0001,1,0,0,0,0,0,0,0,1,1,0,0,0,1
115,37,1211,795,1,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,1,1,0,0,0,1
116,36,599,649,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,0,0,1
117,31,825,506,2,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
118,27,2183,857,1,0,1,1,0,0.0001,1,0,0,0,0,1,0,1,0,1,0,0,0,1
119,34,4499,1681,1,0,0,0,0,0.0001,1,0,1,0,0,0,0,1,0,0,0,0,0,1
120,30,1289,1697,2,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,1,0,1,0,0,1
121,32,4665,860,2,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,1,0,1,0,0,1
122,37,3326,799,1,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,1,1,0,0,0,1
123,32,783,923,3,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
124,33,0,521,3,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
125,35,994,1349,8,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,0,0,1
126,35,1354,736,2,0,1,0,0,0.0001,1,0,0,0,1,0,0,0,0,0,1,0,0,1
127,30,239,785,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,1,1,0,0,0,1
128,45,-311,1030,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1
129,45,149,893,3,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,1,0,0,0,1
130,33,1464,588,3,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
131,44,5773,597,6,0,0,0,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,0,1
132,40,278,1015,3,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,0,0,1
133,31,2910,1392,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
134,30,541,414,2,0,1,0,0,0.0001,1,0,0,0,0,1,0,1,0,0,1,0,0,1
135,44,1262,788,11,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,0,1,0,0,0,1
136,34,-538,682,1,0,1,0,0,0.0001,1,0,0,1,0,0,0,1,0,1,0,0,0,1
137,37,125,679,2,0,0,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
138,28,0,1560,2,0,1,0,0,0.0001,1,0,0,0,1,0,0,0,1,0,1,0,0,1
139,32,620,1234,3,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,1,0,0,0,1
140,37,316,642,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,0,1,0,0,0,1
141,34,2287,895,4,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,0,1,0,0,1
142,38,198,431,2,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,0,1
143,28,460,741,6,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,1,0,0,0,1
144,31,1145,1272,4,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,0,1
145,59,-22,748,3,0,1,0,0,0.0001,1,0,0,1,0,0,0,1,0,1,0,0,0,1
146,24,685,896,3,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
147,26,901,764,2,0,1,0,0,0.0001,1,0,0,1,0,0,0,0,1,1,0,0,0,1
148,59,351,1063,5,0,1,0,0,0.0001,1,0,1,0,0,0,0,0,1,1,0,0,0,1
149,30,0,1051,1,0,1,1,0,0.0001,1,1,0,0,0,0,0,0,1,0,0,0,0,1
150,37,274,731,3,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,1,0,0,0,1
151,30,-213,751,1,0,1,1,0,0.0001,1,0,0,0,0,0,1,0,1,1,0,0,0,1
152,25,97,709,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
153,44,51,3094,2,0,1,1,0,0.0001,1,0,0,1,0,0,0,0,0,1,0,0,0,1
154,29,314,938,2,0,0,0,0,0.0001,1,0,0,0,0,0,1,1,0,0,1,0,0,1
155,26,6840,1560,2,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
156,26,668,576,3,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,1,1,0,0,0,1
157,27,54,543,2,0,1,0,0,0.0001,1,0,0,1,0,0,0,0,1,1,0,0,0,1
158,25,1242,615,2,0,1,0,0,0.0001,1,0,0,0,1,0,0,0,1,1,0,0,0,1
159,28,292,507,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,1,0,0,0,1
160,23,665,1183,1,0,1,0,0,0.0001,1,0,0,1,0,0,0,0,1,1,0,0,0,1
161,34,1058,864,2,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
162,28,949,1730,1,0,1,0,0,0.0001,1,0,1,0,0,0,0,0,1,1,0,0,0,1
163,51,606,560,9,0,1,0,0,0.0001,1,1,0,0,0,0,0,1,0,0,0,1,0,1
164,35,0,543,1,0,1,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
165,35,404,539,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,1,0,0,0,1
166,56,249,791,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
167,45,3354,746,1,0,1,0,0,0.0001,1,0,1,0,0,0,0,0,0,1,0,0,0,1
168,60,0,1207,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,0,1,0,0,0,1
169,56,589,535,2,0,1,0,0,0.0001,1,0,0,0,0,1,0,1,0,1,0,0,0,1
170,27,12956,789,3,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
171,30,873,792,3,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,1,0,0,0,1
172,45,594,833,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1
173,29,-20,814,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,1,1,0,0,0,1
174,38,4692,1363,2,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,0,1
175,30,486,1109,3,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
176,44,1593,828,3,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,1,0,0,0,0,1
177,36,7606,917,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
178,38,226,762,3,0,1,0,0,0.0001,1,0,0,0,0,1,0,1,0,1,0,0,0,1
179,36,366,1133,2,0,1,1,0,0.0001,1,0,0,0,0,0,0,0,1,1,0,0,0,1
180,37,16,638,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,0,1
181,35,565,763,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
182,38,19,604,2,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,0,1
183,40,1082,854,2,0,1,0,0,0.0001,1,0,0,1,0,0,0,1,0,0,0,0,0,1
184,42,1713,855,2,0,1,0,0,0.0001,1,0,1,0,0,0,0,0,0,1,0,0,0,1
185,46,14481,1269,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,0,1
186,35,5724,691,10,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,0,1,0,0,0,1
187,34,1451,1097,15,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,0,1,0,0,0,1
188,32,-34,1236,2,0,1,0,0,0.0001,1,0,0,1,0,0,0,1,0,1,0,0,0,1
189,50,3674,886,3,0,1,0,0,0.0001,1,0,1,0,0,0,0,1,0,1,0,0,0,1
190,35,698,1343,3,0,1,1,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
191,36,4136,812,3,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,1,1,0,0,0,1
192,53,2656,1980,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1
193,46,2904,984,2,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
194,26,1004,228,2,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
195,45,410,891,4,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,1,1,0,0,0,1
196,31,0,745,12,0,1,0,0,0.0001,1,0,1,0,0,0,0,0,0,0,0,0,0,1
197,29,0,539,12,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
198,53,62,1044,5,0,1,0,0,0.0001,1,1,0,0,0,0,0,0,1,1,0,0,0,1
199,27,416,1193,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,0,0,1
200,39,2763,526,2,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,0,1,0,0,1
201,36,2984,394,1,0,1,0,0,0.0001,1,0,0,1,0,0,0,1,0,1,0,0,0,1
202,41,143,659,2,0,1,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,0,0,1
203,36,0,1036,1,0,1,0,0,0.0001,1,0,0,1,0,0,0,1,0,0,0,0,0,1
204,32,696,815,1,0,1,0,0,0.0001,1,0,0,0,0,1,0,1,0,1,0,0,0,1
205,35,152,563,1,0,1,0,0,0.0001,1,0,0,1,0,0,0,1,0,1,0,0,0,1
206,36,-78,1068,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
207,35,867,230,3,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,0,1,0,0,1
208,30,953,747,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,1,1,0,0,0,1
209,42,443,671,5,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
210,42,-1129,555,5,0,1,0,1,0.0001,1,0,0,0,0,1,0,0,1,1,0,0,0,1
211,32,415,777,4,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,0,0,1
212,29,260,707,14,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,1,1,0,0,0,1
213,44,-411,432,4,0,1,0,1,0.0001,1,0,0,0,0,0,1,0,0,0,1,0,0,1
214,32,1279,1173,3,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,1,1,0,0,0,1
215,31,86,963,2,0,1,1,0,0.0001,1,0,1,0,0,0,0,1,0,1,0,0,0,1
216,40,-754,941,3,0,1,1,1,0.0001,1,0,0,0,1,0,0,1,0,1,0,0,0,1
217,43,0,1025,7,0,0,0,0,0.0001,1,1,0,0,0,0,0,1,0,1,0,0,0,1
218,27,178,732,2,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,1,0,0,0,1
219,37,278,1045,3,0,1,0,0,0.0001,1,0,0,1,0,0,0,0,1,1,0,0,0,1
220,23,425,768,1,0,1,0,0,0.0001,1,0,0,1,0,0,0,0,1,1,0,0,0,1
221,25,168,801,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,0,0,0,0,1
222,26,-36,482,2,0,1,0,1,0.0001,1,0,0,0,0,0,0,0,1,1,0,0,0,1
223,47,126,2456,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1
224,35,-87,1363,7,0,1,0,0,0.0001,1,0,0,0,0,0,1,1,0,1,0,0,0,1
225,32,6281,1336,4,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,1,0,1,0,0,1
226,45,644,633,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,0,1
227,30,377,524,15,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,0,1
228,29,-271,578,1,0,1,0,0,0.0001,1,0,0,1,0,0,0,0,1,1,0,0,0,1
229,38,5839,984,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,0,0,1
230,23,492,638,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,1,1,0,0,0,1
231,27,99,767,2,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
232,27,-713,525,2,0,1,0,1,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
233,29,32,563,1,0,1,0,0,0.0001,1,0,0,1,0,0,0,0,1,1,0,0,0,1
234,30,543,1449,6,0,1,1,0,0.0001,1,0,0,0,1,0,0,1,0,0,1,0,0,1
235,36,403,920,1,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,0,0,1
236,35,437,908,1,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,0,1
237,36,1772,208,1,0,0,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
238,59,-88,910,2,0,1,0,0,0.0001,1,0,1,0,0,0,0,0,0,0,0,0,0,1
239,47,0,1446,1,0,0,0,0,0.0001,1,1,0,0,0,0,0,1,0,1,0,0,0,1
240,58,853,1149,2,0,0,0,0,0.0001,1,1,0,0,0,0,0,1,0,0,1,0,0,1
241,37,240,1123,1,0,0,0,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
242,46,849,508,2,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,1,0,0,0,1
243,43,318,736,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,1,1,0,0,0,1
244,27,703,590,3,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
245,38,61,636,1,0,0,0,0,0.0001,1,0,0,1,0,0,0,0,0,1,0,0,0,1
246,53,104,701,1,0,0,1,0,0.0001,1,0,0,1,0,0,0,1,0,0,0,0,0,1
247,47,1996,761,2,0,0,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
248,56,1238,1558,1,0,0,0,1,0.0001,1,0,0,1,0,0,0,0,0,0,0,0,0,1
249,41,879,1053,2,0,0,0,0,0.0001,1,0,0,1,0,0,0,1,0,1,0,0,0,1
250,29,425,562,15,0,1,0,0,0.0001,1,0,0,0,1,0,0,1,0,1,0,0,0,1
251,50,416,494,5,0,1,0,0,0.0001,1,0,0,0,0,1,0,1,0,1,0,0,0,1
252,45,844,1018,3,0,0,0,0,0.0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1
253,35,860,884,4,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
254,26,639,709,5,0,1,0,0,0.0001,1,0,0,0,0,1,0,0,1,1,0,0,0,1
255,26,710,1276,2,0,1,1,0,0.0001,1,0,0,0,0,0,1,1,0,1,0,0,0,1
256,37,1508,381,2,0,0,1,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,1,0,1
257,30,223,862,11,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,1,0,0,0,1
258,38,619,460,4,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
259,37,319,467,3,0,1,0,0,0.0001,1,0,0,1,0,0,0,0,0,1,0,0,0,1
260,53,480,648,2,0,0,0,0,0.0001,1,0,0,0,0,1,0,1,0,1,0,0,0,1
261,29,213,2653,3,0,1,0,0,0.0001,1,0,0,0,0,0,0,0,1,0,0,0,0,1
262,35,68,1085,1,0,0,0,0,0.0001,1,0,0,0,0,0,1,0,1,0,1,0,0,1
263,28,2788,369,2,0,1,0,0,0.0001,1,0,0,0,0,0,0,1,0,1,0,0,0,1
264,55,7561,685,3,0,0,0,0,0.0001,1,0,0,0,0,0,0,1,0,0,0,1,0,1
265,49,-46,1055,10,0,1,0,0,0.0001,1,0,0,0,0,0,1,0,0,1,0,0,0,1
